"Skill";Point
"java";0.1
"c";0,.1
"c++";0.1
"c#";0.1
"python";0.1
"php";0.1
"javascript";0.1
"js";0.1
"sql";0.075
".net";0.1
"visual";0.075
"basic";0.075
"perl";0.1
"ruby";0.1
"assembler";0.075
"delphi";0.075
"swift";0.1
"groovy";0.1
"r";0.1
"objective-c";0.1
"go";0.1
"scala";0.1
"haskell";0.1
"abap";0.1
"d";0.1
"cobol";0.09
"dart";0.1
"wincc";0.1
"fortan";0.09
"lua";0.1
"ada";0.09
"lisp";0.1
"prolog";0.1
"erlang";0.1
"html5";0.1
"junior";0.05
"senior";0.5
"developer";0.075
"css";0.1
"design";0.075
"localstorage";0.003
"mysql";0.005
"mongo";0.005
"sass";0.005
"less";0.005
"coffeescript";0.005
"typescript";0.005
"xsl";0.005
"xpath";0.005
"xslt";0.005
"emmet (zen-coding)";0.005
"api";0.1
"android";0.2
"ios";0.2
"web";0.1
"1c";0.1
"software";0.5
"инженер";0.075
"программист";0.1
"технолог";0.005
"photoshop";0.09
"разработка";0.09